 Year Mo Globe  Land Ocean   NH   Land Ocean   SH   Land Ocean Trpcs  Land Ocean NoExt  Land Ocean SoExt  Land Ocean NoPol  Land Ocean SoPol  Land Ocean USA48 USA49  AUST
 1978 12  0.89  0.23  1.15  0.27 -0.36  0.67  1.51  1.56  1.50  1.17  1.13  1.18 -0.23 -0.74  0.22  1.70  1.83  1.68 -1.54 -2.19 -0.79  1.76  1.75  1.77 -1.29 -1.98  2.72
 1979  1  0.89  0.97  0.86  0.82  1.15  0.61  0.95  0.57  1.04  0.43  0.51  0.41  1.02  1.29  0.78  1.24  0.70  1.34 -1.40 -1.06 -1.79  0.96  0.83  1.02  2.00  1.52 -0.12
 1979  2  0.70  0.79  0.66  1.00  1.10  0.93  0.40  0.06  0.47 -0.30 -0.51 -0.24  1.70  1.55  1.82  0.75  0.43  0.80  3.69  3.31  4.13  0.67  0.62  0.69  1.35  1.85  0.14
 1979  3  0.80  1.02  0.71  0.82  1.21  0.57  0.78  0.58  0.82  0.10  0.05  0.11  1.25  1.54  1.00  1.09  0.93  1.11  3.13  3.19  3.05  0.78  0.92  0.71  0.35  0.14  0.39
 1979  4  0.88  0.80  0.91  0.68  0.66  0.69  1.08  1.13  1.07  0.66  0.70  0.65  0.70  0.67  0.72  1.29  1.39  1.28  0.81  0.63  1.01  0.63  0.89  0.51  0.78  0.31  1.99
 1979  5  0.89  0.95  0.86  0.99  1.01  0.98  0.78  0.82  0.78  0.74  0.79  0.72  1.11  1.06  1.15  0.82  0.88  0.82  0.69  0.58  0.82 -0.19  0.02 -0.29  1.65  1.57  1.24
 1979  6  0.74  0.75  0.73  0.91  1.01  0.85  0.56  0.17  0.65  0.38  0.35  0.39  1.17  1.17  1.17  0.68  0.08  0.79  1.01  1.14  0.86 -0.46 -0.71 -0.33  1.18  1.10  1.27
 1979  7  0.56  0.62  0.53  0.54  0.70  0.43  0.58  0.44  0.61  0.20  0.28  0.17  0.75  0.84  0.67  0.74  0.47  0.79  0.88  0.94  0.82  0.26 -0.00  0.38  0.95  0.89  0.68
 1979  8  0.49  0.61  0.44  0.68  0.74  0.64  0.30  0.32  0.30  0.27  0.24  0.28  0.91  0.88  0.93  0.31  0.36  0.30  1.09  1.12  1.06 -0.65 -0.54 -0.70  1.13  0.94  0.78
 1979  9  0.49  0.57  0.46  0.64  0.67  0.62  0.34  0.35  0.34  0.22  0.25  0.22  0.86  0.77  0.93  0.40  0.45  0.39  0.88  0.73  1.05  0.17  0.12  0.19  0.01  0.09  0.89
 1979 10  0.54  0.87  0.41 -0.06  0.39 -0.35  1.14  1.96  0.97 -0.93 -0.88 -0.95  0.40  0.68  0.14  2.24  4.23  1.88  0.71  0.93  0.46  6.73  9.82  5.26  0.22  0.44 -0.18
 1979 11  0.64  0.68  0.62  0.23  0.36  0.14  1.04  1.42  0.96 -0.34 -0.26 -0.36  0.51  0.52  0.50  1.79  2.68  1.63  2.38  1.97  2.84  4.05  5.35  3.43  1.41  1.54  0.65
 1979 12  0.71  0.23  0.90 -0.01 -0.29  0.16  1.44  1.41  1.45  0.61  0.72  0.57 -0.35 -0.57 -0.16  1.89  1.98  1.87 -0.40 -1.46  0.82  1.94  2.52  1.66 -0.69 -1.89  1.91
 1980  1  0.71  0.26  0.88  0.13 -0.12  0.30  1.28  1.14  1.31  0.67  0.69  0.67 -0.12 -0.34  0.08  1.57  1.50  1.58 -3.97 -3.52 -4.48  0.85  0.90  0.83 -0.89 -1.38  1.45
 1980  2  0.67  0.41  0.77  0.47  0.23  0.63  0.86  0.80  0.87  0.22  0.32  0.19  0.65  0.21  1.04  1.15  1.15  1.16 -3.33 -2.61 -4.17  1.09  1.35  0.98  1.38  1.20  0.02
 1980  3  0.41  1.12  0.13  0.72  1.64  0.13  0.10 -0.04  0.13 -0.68 -0.63 -0.69  1.48  2.26  0.79  0.48  0.32  0.51  4.24  4.74  3.67  0.84  1.27  0.64  0.95  1.66 -0.45
 1980  4  0.32  0.67  0.18  0.44  0.78  0.22  0.21  0.42  0.16 -0.62 -0.51 -0.65  0.98  1.12  0.86  0.64  1.11  0.56  2.84  2.94  2.73  1.21  2.36  0.67  0.87  1.23 -0.01
 1980  5  0.43  0.59  0.36  0.49  0.69  0.36  0.36  0.38  0.36 -0.20 -0.21 -0.19  0.82  0.92  0.73  0.69  0.86  0.67  1.14  1.35  0.89  1.81  2.41  1.52  0.86  0.92 -0.09
 1980  6  0.56  0.85  0.44  0.72  0.91  0.60  0.39  0.71  0.33  0.14  0.26  0.11  0.95  1.06  0.86  0.60  1.11  0.51  1.34  1.37  1.30  3.05  3.32  2.93  0.93  0.86 -0.71
 1980  7  0.65  0.88  0.57  1.08  1.09  1.07  0.23  0.40  0.19  0.90  0.95  0.89  1.10  1.10  1.10 -0.06  0.05 -0.07  1.28  1.32  1.23  0.01  0.05 -0.01  0.84  0.88 -0.13
 1980  8  0.57  0.90  0.44  1.25  1.20  1.29 -0.11  0.24 -0.18  1.36  1.37  1.36  1.14  1.13  1.15 -0.83 -0.53 -0.88  0.91  0.76  1.08 -1.24 -0.97 -1.37  1.16  1.24 -0.21
 1980  9  0.62  0.72  0.59  1.08  1.00  1.13  0.17  0.08  0.18  1.26  1.32  1.24  0.95  0.91  1.00 -0.38 -0.84 -0.30  0.86  0.76  0.98 -1.77 -2.13 -1.59  0.75  0.67 -0.71
 1980 10  0.70  0.79  0.67  0.73  0.80  0.69  0.66  0.75  0.65  0.78  0.77  0.78  0.71  0.82  0.62  0.60  0.71  0.58  1.16  1.04  1.30  0.38  1.10  0.03  0.43  0.76  0.34
 1980 11  0.74  0.65  0.77  0.51  0.30  0.64  0.97  1.42  0.87  1.03  1.05  1.02  0.24  0.10  0.36  0.93  1.71  0.79  0.18 -0.02  0.41  1.70  3.37  0.92  0.10 -0.12  0.53
 1980 12  0.71  0.42  0.82  0.22 -0.11  0.42  1.20  1.62  1.11  1.13  1.18  1.11 -0.31 -0.48 -0.15  1.27  2.05  1.13 -4.52 -4.22 -4.86  3.22  3.88  2.91 -1.06 -2.23  0.79
 1981  1  0.62  0.39  0.71  0.36  0.14  0.51  0.87  0.96  0.85  1.22  1.25  1.21 -0.09 -0.16 -0.03  0.69  0.74  0.69 -5.11 -4.85 -5.42  1.00  1.14  0.94  1.81  1.31  0.16
 1981  2  0.56  1.02  0.38  0.92  1.40  0.61  0.20  0.16  0.20  0.29  0.31  0.29  1.27  1.70  0.89  0.12  0.00  0.14  2.80  3.03  2.53  0.59  0.52  0.62  0.44 -0.01 -0.62
 1981  3  0.43  0.39  0.45  0.31  0.27  0.34  0.56  0.65  0.54  0.13  0.19  0.12  0.45  0.29  0.60  0.73  1.03  0.68  1.69  0.62  2.91  1.11  1.22  1.06  0.68  0.35  1.45
 1981  4  0.53  0.71  0.45  0.57  0.74  0.47  0.48  0.64  0.44  0.32  0.27  0.33  0.76  0.89  0.64  0.51  0.84  0.45 -0.26 -0.06 -0.49  0.82  1.36  0.57  0.19 -0.14  0.09
 1981  5  0.44  0.51  0.42  0.35  0.48  0.27  0.54  0.60  0.53 -0.06 -0.03 -0.07  0.59  0.63  0.56  0.83  1.01  0.80 -0.44 -0.34 -0.56  2.15  1.92  2.25  1.41  1.06  0.72
 1981  6  0.44  0.72  0.34  0.53  0.63  0.46  0.36  0.91  0.24  0.29  0.29  0.29  0.66  0.71  0.61  0.39  1.39  0.22  0.42  0.33  0.53  1.40  2.01  1.12  0.25  0.45  0.74
 1981  7  0.38  0.62  0.29  0.67  0.61  0.71  0.09  0.63 -0.02  0.62  0.65  0.61  0.69  0.60  0.77 -0.17  0.62 -0.31  0.91  0.83  0.99  0.06  0.60 -0.20  0.43  0.48  0.54
 1981  8  0.36  0.52  0.30  0.52  0.57  0.49  0.20  0.41  0.15  0.53  0.58  0.52  0.51  0.56  0.47  0.02  0.29 -0.02  0.34  0.25  0.44 -0.41 -0.34 -0.44  0.67  0.73  0.66
 1981  9  0.42  0.35  0.45  0.32  0.37  0.29  0.52  0.29  0.57  0.01  0.08 -0.01  0.50  0.45  0.54  0.78  0.45  0.84  0.55  0.74  0.33  0.71  1.25  0.46  0.55  0.83 -0.72
 1981 10  0.55  0.63  0.52  0.43  0.60  0.32  0.67  0.72  0.66  0.05  0.12  0.03  0.65  0.74  0.57  0.98  1.12  0.96  0.71  0.64  0.80 -0.83  0.54 -1.48  0.64  0.59  1.03
 1981 11  0.63  0.67  0.62  0.50  0.52  0.49  0.76  1.00  0.71  0.30  0.26  0.31  0.62  0.57  0.67  0.99  1.61  0.88  1.09  1.22  0.94  2.01  3.10  1.50  0.41  1.00  0.56
 1981 12  0.53  0.06  0.71  0.21 -0.34  0.56  0.85  0.96  0.83  0.39  0.33  0.40  0.11 -0.53  0.68  1.10  1.50  1.03  1.76  0.55  3.14  2.05  2.60  1.79  0.14  0.73  0.18
 1982  1  0.53  0.76  0.44  0.84  1.12  0.66  0.22 -0.05  0.27 -0.31 -0.36 -0.29  1.41  1.49  1.34  0.53  0.26  0.58  2.15  2.56  1.67  0.21  0.22  0.21 -0.14  0.23 -0.28
